"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-May-2025","EQ","3,470.00","3,594.00","3,426.10","3,751.20","3,475.00","3,478.20","3,524.17","5,860.00","1,918.05","1,00,48,866","35,41,38,94,641.40","4,01,797"
"29-May-2025","EQ","3,695.00","3,775.00","3,681.00","3,663.90","3,773.00","3,751.20","3,724.47","5,860.00","1,918.05","42,60,651","15,86,86,57,465.10","1,64,538"
"28-May-2025","EQ","3,659.00","3,698.40","3,621.50","3,623.10","3,673.00","3,663.90","3,663.30","5,860.00","1,918.05","41,05,099","15,03,82,11,643.20","1,63,264"
"27-May-2025","EQ","3,570.00","3,684.40","3,555.00","3,550.20","3,635.00","3,623.10","3,632.26","5,860.00","1,918.05","53,04,100","19,26,58,75,622.20","2,07,336"
"26-May-2025","EQ","3,524.00","3,609.70","3,508.00","3,502.30","3,564.90","3,550.20","3,562.45","5,860.00","1,918.05","42,06,178","14,98,42,81,215.50","1,82,084"
"23-May-2025","EQ","3,520.00","3,564.00","3,451.00","3,500.00","3,500.00","3,502.30","3,514.97","5,860.00","1,918.05","42,36,741","14,89,20,04,699.30","1,76,979"
"22-May-2025","EQ","3,423.60","3,524.50","3,390.00","3,411.50","3,509.90","3,500.00","3,470.06","5,860.00","1,918.05","63,14,916","21,91,31,49,691.80","2,39,727"
"21-May-2025","EQ","3,335.00","3,429.00","3,285.00","3,330.30","3,424.50","3,411.50","3,372.42","5,860.00","1,918.05","51,07,591","17,22,49,43,693.30","2,30,944"
"20-May-2025","EQ","3,450.00","3,478.00","3,287.20","3,409.90","3,333.00","3,330.30","3,358.39","5,860.00","1,918.05","67,94,012","22,81,69,60,000.40","3,27,333"
"19-May-2025","EQ","3,559.80","3,733.00","3,378.00","3,522.40","3,422.00","3,409.90","3,477.21","5,860.00","1,918.05","83,75,302","29,12,27,10,029.70","4,07,369"
"16-May-2025","EQ","3,200.00","3,578.00","3,186.00","3,182.40","3,523.90","3,522.40","3,437.01","5,860.00","1,918.05","1,65,61,103","56,92,06,44,756.00","5,76,610"
"15-May-2025","EQ","3,106.80","3,217.80","3,084.20","3,078.20","3,174.00","3,182.40","3,161.63","5,860.00","1,918.05","70,04,596","22,14,59,43,381.60","2,51,520"
"14-May-2025","EQ","3,099.00","3,230.00","3,038.00","3,002.60","3,098.00","3,078.20","3,144.15","5,860.00","1,918.05","1,15,26,915","36,24,23,59,765.50","4,22,416"
"13-May-2025","EQ","2,915.70","3,032.00","2,911.00","2,904.40","3,010.00","3,002.60","2,993.30","5,860.00","1,918.05","53,39,024","15,98,12,79,746.90","2,08,584"
"12-May-2025","EQ","3,024.90","3,045.00","2,866.10","2,922.00","2,905.00","2,904.40","2,933.06","5,860.00","1,918.05","57,08,392","16,74,30,75,210.60","2,34,017"
"09-May-2025","EQ","2,817.00","2,963.50","2,776.50","2,819.90","2,925.00","2,922.00","2,891.10","5,860.00","1,918.05","98,03,235","28,34,21,73,980.50","4,22,808"
"08-May-2025","EQ","2,860.00","2,920.00","2,803.30","2,816.20","2,826.80","2,819.90","2,861.79","5,860.00","1,918.05","46,64,053","13,34,75,17,124.80","2,14,679"
"07-May-2025","EQ","2,938.30","3,108.00","2,786.30","2,972.60","2,833.00","2,816.20","2,916.22","5,860.00","1,918.05","93,01,691","27,12,58,07,052.00","4,11,296"
"06-May-2025","EQ","3,110.00","3,148.40","2,930.00","3,099.50","2,958.00","2,972.60","3,044.22","5,860.00","1,918.05","43,67,638","13,29,60,32,599.60","2,05,483"
"05-May-2025","EQ","3,024.10","3,128.00","2,964.60","2,996.60","3,105.00","3,099.50","3,062.54","5,860.00","1,918.05","47,69,236","14,60,59,59,268.00","2,21,875"
"02-May-2025","EQ","3,075.00","3,172.00","2,981.00","3,057.60","3,004.70","2,996.60","3,089.54","5,860.00","1,918.05","78,20,145","24,16,06,42,843.30","3,47,957"
"30-Apr-2025","EQ","3,073.70","3,150.00","2,955.00","3,027.90","3,035.50","3,057.60","3,052.74","5,860.00","1,918.05","95,28,730","29,08,87,71,331.50","4,07,668"
"29-Apr-2025","EQ","2,817.90","3,048.30","2,817.90","2,786.30","3,029.00","3,027.90","2,963.00","5,860.00","1,918.05","1,36,53,093","40,45,41,53,152.90","4,92,478"
